id,izdajatelj
0,Potter/Ten Speed/Harmony/Rodale
1,"Vertical, Inc."
2,Square Enix
3,IVREA
4,Scholastic US
5,Cornerstone
6,"Seven Seas P.,N.Y."
7,"Viz Media, Subs. of Shogakukan Inc"
8,Tokyopop Press Inc
9,SQUARE ENIX
10,Viz Media
11,Social Club Books
12,Boom! Studios
13,"Oni Press,US"
14,NBM Publishing Company
15,Vertical Inc.
16,F&amp;W Publications Inc
17,HarperCollins Publishers Inc
18,Dark Horse Comics
19,Roaring Brook Press
20,Image Comics
21,"Little, Brown &amp; Company"
22,"Kodansha America, Inc"
23,Yen Pr
24,"Dark Horse Comics,U.S."
25,DARK HORSE COMICS
26,Avatar Press
27,"Seven Seas Entertainment, LLC"
28,Yen Press
